Sesso,DataNascita,DataDecesso,EtaDecesso
M,1931-02-05,2000-10-24,69
F,1911-10-02,2004-05-02,92
M,1920-03-21,2001-11-25,81
M,1962-04-01,2018-02-23,55
F,1920-03-09,2012-08-06,92
F,1925-02-04,2019-01-04,93
F,1937-08-14,2004-07-07,66
F,1932-09-03,2014-08-24,81
M,1942-12-15,2015-04-24,72
F,1935-01-02,2020-03-16,85
M,1941-09-12,2006-02-26,64
F,1923-05-07,2020-07-05,97
M,1941-08-23,2010-01-12,68
F,1910-04-03,2000-06-20,90
F,1984-08-01,2014-10-09,30
F,1924-08-29,2006-10-26,82
F,1905-12-25,2002-04-22,96
M,1932-09-23,2010-01-11,77
M,1936-08-05,2000-05-12,63
F,1927-01-05,2020-09-09,93
M,1958-10-28,2017-08-20,58
F,1927-08-25,2010-11-09,83
M,1945-04-21,2002-02-21,56
M,1937-05-17,2013-05-05,75
F,1912-06-02,2004-05-26,91
M,1952-05-05,2001-06-21,49
F,1915-01-24,2010-09-08,95
M,1941-07-18,2001-01-24,59
F,1937-10-07,2009-02-16,71
F,1910-01-28,2004-09-29,94
M,1943-06-17,2020-08-16,77
M,1932-11-14,2017-06-30,84
M,1933-08-25,2016-04-30,82
M,1922-11-13,2003-08-24,80
M,1934-03-22,2017-01-23,82
F,1924-10-13,2009-12-09,85
F,1919-06-07,2003-11-12,84
M,1930-03-19,2008-08-02,78
F,1924-04-10,2004-05-09,80
M,1924-02-22,2009-01-02,84
F,1917-05-13,2005-06-23,88
M,1963-03-06,2000-04-29,37
F,1923-03-18,2003-04-03,80
F,1931-12-24,2009-03-02,77
M,1941-10-03,2005-07-25,63
F,1924-09-08,2012-06-24,87
F,1938-12-11,2009-12-05,70
M,1927-06-14,2018-02-23,90
M,1929-09-09,2014-08-10,84
F,1931-08-08,2010-07-04,78
M,1928-05-10,2013-01-09,84
M,1923-01-12,2001-07-12,78
F,1926-06-18,2010-02-04,83
M,1946-06-11,2001-10-21,55
M,1929-11-10,2011-10-30,81
F,1939-10-12,2018-06-30,78
M,1931-12-07,2006-08-29,74
M,1921-02-24,2011-04-04,90
M,1922-09-23,2015-09-29,93
F,1917-09-12,2009-03-16,91
F,1927-10-15,2020-09-18,92
F,1965-07-31,2006-07-06,40
F,1933-07-15,2015-07-20,82
M,1956-01-24,2011-03-07,55
M,1932-10-26,2007-02-24,74
F,1931-09-24,2018-10-20,87
M,1941-03-21,2015-05-28,74
M,1956-12-31,2014-07-11,57
F,1931-09-21,2006-11-16,75
F,1926-08-25,2012-04-19,85
F,1911-03-30,2006-04-21,95
M,1968-07-20,2014-07-03,45
M,1941-04-13,2020-02-28,78
M,1914-09-03,2008-02-25,93
M,1910-07-17,2016-10-02,106
